site_id,year1,year2,bd_occupied_past,bd_occupied_present,mean_bd_past,mean_bd_present,frog_abund_present,num_inf_present,diff,area,elevation,jurisdiction,density,location
11491,2009,2010,1,1,3.95874946443215,6.07341175655722,9,10,1,2316,3530,kings_canyon,2.08270632821231,0
11493,2008,2009,1,1,1.68124123737559,2.30660814281979,55,48,1,269,3459,kings_canyon,37.3457644956979,0
11493,2009,2010,1,1,2.30660814281979,5.98190137589008,3,5,1,269,3459,kings_canyon,2.03704169976534,0
11495,2009,2010,1,1,5.21099529392685,4.79101257138437,25,46,1,970,3459,kings_canyon,8.93941185020451,0
11495,2010,2011,1,1,4.79101257138437,5.00565428101293,34,14,1,970,3459,kings_canyon,12.1576001162781,0
11496,2009,2010,1,1,2.79518458968242,1.68124123737559,1,1,1,840,3493,kings_canyon,0.384251137373536,0
11506,2009,2010,1,1,5.69496079727725,3.19407960262155,41,29,1,1414,3469,kings_canyon,12.1426634096716,0
11506,2010,2011,1,1,3.19407960262155,5.59874229438533,15,7,1,1414,3469,kings_canyon,4.44243783280668,0
11509,2006,2007,1,1,2.38021124171161,1.68124123737559,4,1,1,605,3469,kings_canyon,1.81107780682632,0
11509,2007,2008,1,1,1.68124123737559,1.68124123737559,9,1,1,605,3469,kings_canyon,4.07492506535921,0
11509,2008,2009,1,1,1.68124123737559,2.02775009018988,17,4,1,605,3469,kings_canyon,7.69708067901185,0
11509,2009,2010,1,1,2.02775009018988,5.00118954909852,11,6,1,605,3469,kings_canyon,4.98046396877237,0
11517,2009,2010,1,1,2.56008735085298,6.22488663115647,11,22,1,816,3395,kings_canyon,4.28847033741446,0
11517,2010,2011,1,1,6.22488663115647,5.64279331676163,12,23,1,816,3395,kings_canyon,4.67833127717942,0
11518,2009,2010,1,1,3.06322859944675,3.77085257186205,21,64,1,2002,3408,kings_canyon,5.22687438305229,0
11518,2010,2011,1,1,3.77085257186205,5.89213094509597,16,10,1,2002,3408,kings_canyon,3.98238048232555,0
11518,2012,2013,1,1,4.80750256336645,4.76021433525827,2,4,1,2002,3408,kings_canyon,0.497797560290694,0
11525,2009,2010,1,1,3.62627079748253,6.59434236665267,36,15,1,1096,3456,kings_canyon,12.110219876862,0
11526,2009,2010,1,1,3.51635177392127,4.29075851526125,58,41,1,772,3456,kings_canyon,23.2473871452355,0
11526,2010,2011,1,1,4.29075851526125,6.10690346463767,3,10,1,772,3456,kings_canyon,1.20245105923632,0
11535,2006,2007,1,1,2.15836249209525,2.52633927738984,14,1,1,834,3298,kings_canyon,5.3988320210091,0
11570,2010,2011,1,1,1.68124123737559,1.68124123737559,3,1,1,655,3164,kings_canyon,1.30543547207117,0
11858,2015,2016,1,1,6.03600950900047,4.26857913793497,27,46,1,1674,3225,kings_canyon,7.34921312605201,0
11858,2016,2017,1,1,4.26857913793497,3.47136804734967,99,392,1,1674,3225,kings_canyon,26.947114795524,0
11858,2017,2018,1,1,3.47136804734967,3.26644467902589,3,22,1,1674,3225,kings_canyon,0.816579236228001,0
11987,2006,2007,1,1,4.35426214450448,2.31297204708163,66,5,1,3140,3347,kings_canyon,13.1169818077346,0
12361,2005,2006,1,1,5.90627661970909,5.8690131685796,25,9,1,3802,3520,kings_canyon,4.51532231843248,0
12361,2006,2007,1,1,5.8690131685796,4.24611904890155,53,8,1,3802,3520,kings_canyon,9.57248331507685,0
12503,2006,2007,1,1,2.14144118606864,2.15836249209525,16,1,1,548,3444,kings_canyon,7.61174986363488,0
12503,2009,2010,1,1,2.3056909557455,1.93374004795861,26,5,1,548,3444,kings_canyon,12.3690935284067,0
12503,2010,2011,1,1,1.93374004795861,3.99148692179651,18,12,1,548,3444,kings_canyon,8.56321859658924,0
12562,2013,2014,1,1,3.96666358777658,3.32357618870186,3,4,1,44,3569,kings_canyon,5.0367421841242,0
12562,2014,2015,1,1,3.32357618870186,3.15135759052659,1,1,1,44,3569,kings_canyon,1.67891406137473,0
12590,2016,2017,1,1,4.58048437682166,3.31640747354148,7,16,1,43,3213,kings_canyon,11.8882688212379,0
12590,2017,2018,1,1,3.31640747354148,2.92214387396655,2,2,1,43,3213,kings_canyon,3.39664823463941,0
12621,2016,2017,1,1,3.94250732105911,2.4787097040604,1,5,1,58,3231,kings_canyon,1.46231457251379,0
12624,2006,2007,1,1,5.38332695881141,4.06152495306948,4,2,1,1287,3320,kings_canyon,1.24172527905315,0
20135,2016,2017,1,1,3.18874798696819,4.34759092733062,7,12,1,8055,3380,sequoia,0.868600494637646,0
20135,2017,2018,1,1,4.34759092733062,2.91467734533215,2,1,1,8055,3380,sequoia,0.24817156989647,0
20169,2018,2019,1,1,1.82562653005591,2.31195719037876,158,1,1,102109,3510,sequoia,5.50655371709123,0
20192,2007,2008,1,1,4.86638557818045,4.94433267285977,8,4,1,8748,3510,sequoia,0.952555753453901,0
20195,2007,2008,1,1,5.32938001738679,6.77819768989177,11,2,1,5124,3440,sequoia,1.71136611739179,0
20196,2007,2008,1,1,4.77695094155339,5.1309802962206,54,10,1,22666,3490,sequoia,3.99448801376942,0
20196,2018,2019,1,1,4.88765107309023,4.91668644534898,12,6,1,22666,3490,sequoia,0.887664003059872,0
