site_id,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,jurisdiction,loss_years,failed_invasion_ranking
20170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,sequoia,2016 -> 2017,3
20288,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,sequoia,,
21092,-1,0,-1,1,-1,-1,-1,0,0,-1,-1,0,1,-1,-1,-1,sequoia,,
21109,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,1,0,0,-1,sequoia,,
50133,-1,0,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,sierra_nf,2006 -> 2007,3
50162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,sierra_nf,2016 -> 2018,2
50217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,sierra_nf,2016 -> 2017,3
50218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,sierra_nf,2016 -> 2017,3
50731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,sierra_nf,2016 -> 2017,3
50837,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,inyo_nf,2018 -> 2019,3
50839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,inyo_nf,,
50897,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,inyo_nf,2016 -> 2017,3
50899,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,inyo_nf,,
50904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,inyo_nf,,
50929,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,inyo_nf,,
51053,-1,0,-1,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,sierra_nf,,
51058,-1,0,0,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,sierra_nf,2008 -> 2009,3
51357,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,inyo_nf,,
51801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,inyo_nf,,
52127,0,0,1,0,0,0,1,1,1,-1,0,-1,0,0,1,0,sierra_nf,"2012 -> 2014, 2018 -> 2019",3
52171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,inyo_nf,,
53102,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,sierra_nf,,
