CDEC,year,lake_id,SWEmm
AGP,2001,71913,329
AGP,2001,71964,329
AGP,2001,72016,329
AGP,2001,72042,329
AGP,2001,72063,329
AGP,2001,72110,329
AGP,2001,72117,329
AGP,2001,72294,329
AGP,2001,72319,329
AGP,2001,72332,329
AGP,2001,72420,329
AGP,2001,72430,329
AGP,2001,72497,329
AGP,2001,72514,329
AGP,2001,72564,329
AGP,2001,72633,329
AGP,2001,72635,329
AGP,2001,72706,329
AGP,2001,72760,329
AGP,2001,72780,329
AGP,2001,72815,329
AGP,2001,72877,329
AGP,2001,73092,329
AGP,2001,74282,329
AGP,2001,71187,329
AGP,2001,71257,329
AGP,2001,71558,329
AGP,2002,70117,572
AGP,2002,70287,572
AGP,2002,70305,572
AGP,2002,70337,572
AGP,2002,70369,572
AGP,2002,70422,572
AGP,2002,70425,572
AGP,2002,70509,572
AGP,2002,70526,572
AGP,2002,70575,572
AGP,2002,70616,572
AGP,2002,70701,572
AGP,2002,70735,572
AGP,2002,71249,572
AGP,2002,71288,572
AGP,2002,71317,572
AGP,2002,71413,572
AGP,2002,71438,572
AGP,2002,71445,572
AGP,2002,71495,572
AGP,2002,71587,572
AGP,2002,71625,572
AGP,2002,71632,572
AGP,2002,71693,572
AGP,2002,71748,572
AGP,2002,71785,572
AGP,2002,71808,572
AGP,2002,71834,572
AGP,2002,71913,572
AGP,2002,71964,572
AGP,2002,72016,572
AGP,2002,72042,572
AGP,2002,72063,572
AGP,2002,72110,572
AGP,2002,72117,572
AGP,2002,72294,572
AGP,2002,72319,572
AGP,2002,72332,572
AGP,2002,72420,572
AGP,2002,72430,572
AGP,2002,72497,572
AGP,2002,72514,572
AGP,2002,72564,572
AGP,2002,72633,572
AGP,2002,72635,572
AGP,2002,72706,572
AGP,2002,72760,572
AGP,2002,72780,572
AGP,2002,72815,572
AGP,2002,72877,572
AGP,2002,73092,572
AGP,2002,74282,572
AGP,2002,71187,572
AGP,2002,71257,572
AGP,2002,71558,572
AGP,2003,70117,437
AGP,2003,70287,437
AGP,2003,70305,437
AGP,2003,70337,437
AGP,2003,70369,437
AGP,2003,70422,437
