CDEC,id,name,area,depth,elevation,drainage,topo,county,jurisdiction,wilderness,utme,utmn,min_dist_km,elevation_cdec
TNY,71635,"",514,0.3,2627,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,283556,4193570,3.07002936236939,2491
TNY,71643,"",516,0.5,2822,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,284113,4192160,1.56685419182267,2491
TNY,71666,"",529,0.3,2652,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,283760,4194100,3.53827638166459,2491
TNY,71688,"",539,,2530,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,284451,4196410,5.78646733659626,2491
TNY,71690,"",539,0.3,2591,tuolumne_cathedral_ck,tenaya_lake,tuolumne,yosemite,yosemite,286194,4193920,3.74499037021256,2491
TNY,71701,"",548,1.1,3091,merced_echo_ck_cathedral_fk,tenaya_lake,mariposa,yosemite,yosemite,286231,4189750,2.01253319957334,2491
TNY,71711,"",557,0.4,2920,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,287546,4190830,3.13520049065081,2491
TNY,71725,"",564,0.35,2603,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,286588,4197170,6.89672257890262,2491
TNY,71733,"",570,0.4,2640,merced_tenaya_ck_murphy_ck,tenaya_lake,tuolumne,yosemite,yosemite,283684,4194420,3.86679809694194,2491
TNY,71742,"",575,0.5,2708,merced_lewis_ck_fletcher_ck,tenaya_lake,mariposa,yosemite,yosemite,289168,4181920,9.91346625935966,2491
TNY,71750,"",581,0.6,2664,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,284827,4193820,3.22295294867924,2491
TNY,71755,"",584,0.5,2627,tuolumne_return_ck,falls_ridge,tuolumne,yosemite,yosemite,284230,4201590,10.9671097156297,2491
TNY,71774,"",593,,2627,merced_tenaya_ck_murphy_ck,tenaya_lake,tuolumne,yosemite,yosemite,283767,4194490,3.92093229261589,2491
TNY,71775,"",595,,2268,merced,merced_peak,mariposa,yosemite,yosemite,290197,4177980,13.8991200191185,2491
TNY,71781,"",601,0.35,2579,merced_tenaya_ck_murphy_ck,tenaya_lake,tuolumne,yosemite,yosemite,283594,4194260,3.72867118144854,2491
TNY,71796,"",613,0.4,2591,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,286268,4196330,5.99896504866562,2491
TNY,71801,"",614,,2987,merced_echo_ck,tenaya_lake,mariposa,yosemite,yosemite,288570,4185500,6.59350343847237,2491
TNY,71829,"",631,0.75,2947,merced_lewis_ck_florence_ck,vogelsang_peak,mariposa,yosemite,yosemite,292710,4180920,12.7618657070243,2491
TNY,71865,"",666,0.2,2932,merced_lewis_ck_fletcher_ck,vogelsang_peak,mariposa,yosemite,yosemite,291533,4184040,9.69218739811396,2491
TNY,71867,"",666,0.25,2835,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,286945,4191260,2.60652424132024,2491
TNY,71883,"",681,0.25,2932,merced_echo_ck_cathedral_fk,tenaya_lake,mariposa,yosemite,yosemite,288955,4187820,5.33273437050435,2491
TNY,71890,"",684,0.15,2481,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,282515,4188610,2.76882036553128,2491
TNY,71902,"",698,0.3,2603,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,286249,4195760,5.45327014098636,2491
TNY,71905,"",700,0.4,2829,merced,mount_lyell,madera,yosemite,yosemite,291685,4174610,17.5822731799879,2491
TNY,71926,"",716,0.7,2603,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,286674,4197170,6.92426569877657,2491
TNY,71939,"",729,0.2,2713,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,282206,4191850,2.5284751824827,2491
TNY,71947,"",736,0.6,2664,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,280868,4190340,3.5597359175689,2491
TNY,71956,"",742,,2664,merced_tenaya_ck_murphy_ck,tenaya_lake,tuolumne,yosemite,yosemite,282891,4194230,3.91619851319536,2491
TNY,71970,"",755,,2972,merced_lewis_ck_fletcher_ck_emeric_ck,vogelsang_peak,mariposa,yosemite,yosemite,292075,4185670,9.11847303551632,2491
TNY,72011,"",794,,2615,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,287081,4196110,6.09876144973412,2491
TNY,72015,"",799,0.4,2554,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,280515,4187720,4.8624794296769,2491
TNY,72017,"",801,0.6,2615,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,287162,4196250,6.2600658228123,2491
TNY,72020,"",806,0.3,2493,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,282465,4188750,2.70467068048945,2491
TNY,72043,"",839,0.5,2579,tuolumne_cathedral_ck,tenaya_lake,tuolumne,yosemite,yosemite,286113,4193830,3.62746806336089,2491
TNY,72051,"",847,0.5,2932,merced_lewis_ck_fletcher_ck,vogelsang_peak,mariposa,yosemite,yosemite,291625,4184160,9.67940763764159,2491
TNY,72055,"",851,0.6,2725,tuolumne_return_ck,falls_ridge,tuolumne,yosemite,yosemite,284602,4202100,11.4769295773701,2491
TNY,72079,"",878,0.3,2615,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,287031,4196050,6.02299044018509,2491
TNY,72082,"",882,,3115,merced,mount_lyell,madera,yosemite,yosemite,293743,4177700,15.9340456090748,2491
